이름,높이,소재지
가리산,1050.9m,"강원도 춘천시 북산면ㆍ동면, 홍천군 두촌면ㆍ화촌면"
가리왕산,1561.9m,"강원도 정선군 정선읍 회동리ㆍ북평면, 평창군 진부면"
가야산,1432.6m,"경상남도 합천군ㆍ거창군, 경상북도 성주군"
가지산,1240.9m,"울산광역시, 경상북도 청도군, 경상남도 밀양시"
감악산,674.9m,"경기도 양주시 남면, 연천군 전곡읍, 파주시 적성면"
강천산,585.8m,"전라북도 순창군 팔덕면, 전라남도 담양군 용면"
계룡산,846.5m,"대전광역시, 충청남도 공주시 계룡면ㆍ논산시 상월면ㆍ계룡시 신도안면"
계방산,1579.1m,"강원도 홍천군 내면, 평창군 용편면ㆍ진부면"
공작산,887.4m,"강원도 홍천군 동면, 화촌면"
관악산,632.2m,"서울특별시 관악구ㆍ금천구, 경기도 안양시ㆍ과천시"
구병산,876.3m,"경상북도 상주시 화북면, 충청북도 보은군 마로면ㆍ속리산면"
금산,704.9m,경상남도 남해군 상주면ㆍ이동면ㆍ삼동면
금수산,1015.8m,충청북도 제천시 수산면ㆍ단양군 적성면
금오산,976.5m,"경상북도 구미시, 칠곡군 북삼읍, 김천시 남면"
금정산,800.8m,"부산광역시 금정구ㆍ북구, 경상남도 양산시"
깃대봉,367.8m,전라남도 신안 흑산면 홍도
남산,495.1m,경상북도 경주시 남산동ㆍ내남면
내연산,711.3m,"경상북도 포항시 송라면ㆍ청하면ㆍ죽장면, 영덕군 남정면"
내장산,763.5m,"전라북도 정읍시 내장동, 순창군 복흥면ㆍ쌍치면"
대둔산,879.1m,"충청남도 논산시 벌곡면ㆍ금산군 진산면, 전라북도 완주군 온주면"
대암산,1312.6m,"강원 양구군 동면, 인제군 서화면"
대야산,931m,"경상북도 문경시 가은읍, 충청북도 괴산군 청천면"
덕숭산(수덕산),495.2m,충청남도 예산군 덕산면
덕유산(향적봉),1614.2m,"전라북도 무주군ㆍ장수군, 경상남도 거창군ㆍ함양군"
덕항산,1072.9m,강원도 삼척시 신기면ㆍ태백시 하사미동
도락산,965.3m,"충청북도 단양군 단성면, 대강면"
도봉산(자운봉),740.2m,"서울특별시 도봉구, 경기도 의정부시 호원동ㆍ양주시 장흥면"
두륜산,700m,전라남도 해남군 삼산면ㆍ북일면ㆍ북평면ㆍ현산면
두타산,1357m,"강원도 동해시 삼화동, 삼척시 미로면ㆍ하장면"
마니산,472.1m,인천광역시 강화군 화도면
마이산,687.4m,전라북도 진안군 진안읍ㆍ마령면
명성산,922m,"강원도 철원군 갈말읍, 경기도 포천시 영북면ㆍ이동면"
명지산,1252.3m,경기도 가평군 북면ㆍ하면
모악산,795.2m,전라북도 김제시 금산면ㆍ전주시 완산구ㆍ완주군 구이면
무등산,1186.8m,"광주광역시 동구, 전라남도 담양군 남면ㆍ화순군 이서면"
무학산,761.4m,경상남도 창원시 교방동
미륵산,458.4m,경상남도 통영시 산양읍ㆍ봉평동
민주지산,1241.7m,"충청북도 영동군 상촌면ㆍ용화면, 전라북도 무주군 설천면, 경상북도 김천시 부항면"
방장산,733.6m,"전라남도 장성군, 전라북도 고창군 신림면ㆍ정읍시 입암면"
방태산,1445.7m,"강원도 인제군 기린면, 상남면"
백덕산,1350.1m,"강원도 평창군 방림면, 횡성군 안흥면, 영월군 수주면"
백암산,741.2m,"전라북도 순창군 복흥면, 전라남도 장성군 북하면"
백운산(광양),1222.2m,"전라남도 광양시 봉강면ㆍ옥룡면ㆍ진상면ㆍ다압면, 구례군 간전면"
백운산(정선),883.5m,"강원도 정선군 신동읍, 평창군 미탄면"
백운산(포천),903.1m,"경기도 포천시 이동면, 강원도 화천군 사내면"
변산,508.6m,"전라북도 부안군 변산면, 상서면, 진서면"
북한산,835.6m,"서울특별시 강북구ㆍ성북구ㆍ종로구ㆍ은평구, 경기도 고양시ㆍ양주시"
비슬산,1083.4m,"대구광역시 달성군 옥포면ㆍ유가면ㆍ가창면, 경상북도 청도군 각북면"
삼악산,655.8m,강원도 춘천시 서면
서대산,905.3m,"충청남도 금산군 추부면ㆍ군북면, 충청북도 옥천군 군서면"
선운산,334.7m,전라북도 고창군 아산면ㆍ심원면ㆍ해리면
설악산,1708.1m,"강원도 속초시 설악동, 인제군 북면ㆍ인제읍, 양양군 서면ㆍ강현면"
성인봉,986.5m,경상북도 울릉군 울릉읍 서면ㆍ북면
소백산,1439.7m,"경상북도 영주시 풍기읍, 충청북도 단양군 단양읍"
소요산,587.5m,"경기도 동두천시, 포천시 신북면"
속리산,1058.4m,"경상북도 상주시 화북면, 충청북도 보은군 내속리면"
신불산,1159.3m,울산광역시 울주군 삼남면ㆍ상북면
연화산,524m,경상남도 고성군 개천면ㆍ영현면
오대산,1565.4m,"강원도 평창군 진부면, 홍천군 내면, 강릉시 연곡면"
오봉산,777.9m,"강원도 춘천시 북산면, 화천군 간동면"
용문산,1157.1m,경기도 양평군 용문면ㆍ옥천면
용화산,877.8m,"강원도 화천군 간동면ㆍ하남면, 춘천시 사북면"
운문산,1195.1m,"경상북도 청도군 운문면, 경상남도 밀양시 산내면"
운악산,934.7m,"경기도 가평군 하면, 포천시 화현면"
운장산,1125.8m,"전라북도 진안군 주천면ㆍ부귀면ㆍ정천면, 완주군 동상면"
월악산,1095.3m,"충청북도 제천시 한수면, 덕산면"
월출산,810.7m,"전라남도 영암군 영암읍ㆍ군서면ㆍ학산면, 강진군 성전면"
유명산,864m,"경기도 가평군 설악면, 양평군 옥천면"
응봉산,999.7m,"강원도 삼척시 가곡면ㆍ원덕읍, 경상북도 울진군 북면"
장안산,1237.4m,"전라북도 장수군 장수읍, 계남면"
재약산,1119.1m,"경상남도 밀양시 단장면ㆍ산내면, 울산광역시 울주군 상북면"
적상산,1030.6m,전라북도 무주군 적상면
점봉산,1426m,"강원도 양양군 서면, 인제군 기린면ㆍ인제읍"
조계산,887.3m,전라남도 순천시 승주읍ㆍ송광면
주왕산,722.1m,"경상북도 청송군 청송읍ㆍ부동면, 영덕군 지품면ㆍ달산면"
주흘산,1108.4m,경상북도 문경시 문경읍
지리산,1915.4m,"전라북도 남원시, 전라남도 구례군, 경상남도 하동군ㆍ산청군ㆍ함양군"
지리산(통영),399.3m,경상남도 통영시 사량면
천관산,724.3m,"전라남도 장흥군 관산읍, 대덕읍"
천마산,810.3m,"경기도 남양주시 오남읍, 화도읍"
천성산,920.2m,"경상남도 양산시 하북면, 상북면, 웅상읍"
천태산,714.3m,"충청북도 영동군 양산면, 충청남도 금산면 제원면"
청량산,869.7m,경상북도 봉화군 명호면
추월산,731.2m,"전라남도 담양군 용면, 전라북도 순창군 복흥면"
축령산,887.1m,"경기도 남양주시 수동면, 가평군 상면"
치악산,1282m,"강원도 원주시, 횡성군, 영월군"
칠갑산,559.7m,"충청남도 청양군 대치면, 정산면, 장평면"
태백산,1566.7m,"강원도 태백시, 경상북도 봉화군 석포면"
태화산,1027.5m,"강원도 영월군 영월읍, 충청북도 단양군 영춘면"
팔공산,1192.3m,"경상북도 군위군 부계면, 영천시 신녕면, 대구광역시 동구"
팔봉산,328.2m,강원도 홍천군 서면 팔봉리
팔영산,606.9m,전남 고흥군 영남면 우천리
한라산,1947.3m,"제주도 제주시, 서귀포시"
화악산(중봉),1468.3m,"경기도 가평군 북면, 강원도 화천군 사내면"
화왕산,757.7m,경상남도 창녕군 창녕읍 옥천리 일대
황매산,1113.1m,"경상남도 합천군 대병면, 가회면, 산청군 차황면."
황석산,1192.5m,경상남도 함양군
황악산,1111.4m,경상북도 김천시 대항면 운수리
황장산,1078.9m,경상북도 문경시 동로면
희양산,996.4m,"경상북도 문경시 가은읍, 충청북도 괴산군 연풍면,"
